Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
10,Company,Airborne,Elite,Basic (Limited Ammo),Decentralized,Overstocked,446,Light Infantry,Sniper Teams,Medium,Strong,Rescue/Evacuation,Arctic,Heavy Rain,Night,Medium,No,Encirclement,Return Fire Only,8
11,Battalion,Reconnaissance,Elite,Specialized Gear,Decentralized,Minimal,367,Drone Operators,Standard Equipment,High,Competent,Eliminate Enemy Force,Coastal,Thunderstorm,Dusk,High,Yes (Artillery & Close Air Support),Infiltration,Weapons Free,5
38,Company,Engineers,Mixed,Riot Gear,Decentralized (Limited Communication),Overstocked,423,Light Infantry,Improvised Explosive Devices (IEDs),Low,Competent,Eliminate Enemy Force,Mountain,Blizzard,Day,Medium,Yes (Artillery & Close Air Support),Static Defense,Return Fire Only,3
30,Fire Team,Military Police,Mixed,Advanced Weaponry,Decentralized (Limited Communication),Well-Supplied,146,Drone Operators,Sniper Teams,Low,Incompetent,Infrastructure Protection,Arctic,Heavy Rain,Day,High,Yes (Artillery & Close Air Support),Encirclement,Protect Civilians at All Costs,1
9,Battalion,Combat Medic Team,Mixed,Riot Gear,Centralized (Flexible),Well-Supplied,361,Irregular Militia,Advanced Communication,Fanatical,Tactical Genius,Cyber Defense,Desert,Extreme Heat,Dusk,Low,No,Aggressive Push,Weapons Free,4
220,Platoon,Reconnaissance,Elite,Medical Supplies,Decentralized,Basic,123,Irregular Militia,Sniper Teams,Fanatical,Incompetent,Counter-insurgency,Urban,Extreme Cold,Night,Medium,Yes (Air & Artillery),Static Defense,Weapons Free,4
322,Platoon,Engineers,Rookie,Basic (Limited Ammo),Centralized,Overstocked,258,Guerrilla,Advanced Communication,Low,Charismatic Leader,Cyber Defense,Island,Blizzard,Dusk,Medium,Yes (Naval Gunfire),Guerrilla Tactics,Non-Lethal Force Only,6
28,Battalion,Engineers,Elite,Specialized Gear,Centralized (Flexible),Overstocked,200,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Tactical Genius,Eliminate Enemy Force,Island,Clear,Dusk,Low,Yes (Air & Artillery),Guerrilla Tactics,Weapons Free,4
32,Platoon,Infantry,Veteran,Riot Gear,Decentralized (Limited Communication),Well-Supplied,459,Mechanized Infantry,Advanced Communication,Fanatical,Weak,Rescue/Evacuation,Urban,Light Rain,Dawn,Low,Yes (Artillery & Close Air Support),Guerrilla Tactics,Non-Lethal Force Only,3
219,Squad,Engineers,Veteran,Specialized Gear,Decentralized (Limited Communication),Well-Supplied,245,Irregular Militia,Standard Equipment,High,Strong,Reconnaissance,Urban,Light Rain,Night,Medium,Yes (Artillery),Static Defense,Weapons Free,5
500,Squad,Reconnaissance,Elite,Medical Supplies,Centralized (Flexible),Basic,55,Special Forces,Improvised Explosive Devices (IEDs),Low,Competent,Reconnaissance,Rural,Heavy Rain,Dawn,Medium,Yes (Artillery & Close Air Support),Tactical Retreat,Return Fire Only,1
892,Fire Team,Combat Medic Team,Elite,Specialized Gear,Centralized (Flexible),Well-Supplied,232,Armored,Improvised Explosive Devices (IEDs),Low,Competent,Eliminate Enemy Force,Desert,Cloudy,Dawn,High,Yes (Artillery & Close Air Support),Static Defense,Protect Civilians at All Costs,8
323,Squad,Airborne,Elite,Basic (Limited Ammo),Centralized,Basic,262,Guerrilla,Improvised Explosive Devices (IEDs),High,Competent,Cyber Defense,Arctic,Extreme Heat,Dusk,None,Yes (Artillery & Close Air Support),Static Defense,Observe and Report,4
100,Platoon,Engineers,Mixed,Standard Issue,Centralized (Strict Hierarchy),Overstocked,420,Irregular Militia,Advanced Communication,Low,Charismatic Leader,Peacekeeping,Urban,Extreme Cold,Day,None,Yes (Artillery),Static Defense,Return Fire Only,6
5,Fire Team,Reconnaissance,Mixed,Specialized Gear,Decentralized (Limited Communication),Minimal,37,Armored,Improvised Explosive Devices (IEDs),Medium,Competent,Peacekeeping,Urban,Heavy Rain,Day,Medium,Yes (Artillery & Close Air Support),Infiltration,Return Fire Only,1
6,Company,Military Police,Rookie,Specialized Gear,Centralized (Flexible),Adequate,175,Mechanized Infantry,Sniper Teams,Low,Competent,Secure Objective,Suburban,Cloudy,Day,Low,No,Tactical Retreat,Weapons Free,7
11,Company,Infantry,Mixed,Advanced Weaponry,Centralized (Flexible),Well-Supplied,475,Drone Operators,Advanced Communication,High,Strong,Cyber Defense,Island,Blizzard,Dawn,None,Yes (Artillery & Close Air Support),Encirclement,Observe and Report,9
6,Platoon,Engineers,Elite,Medical Supplies,Centralized,Basic,110,Special Forces,Advanced Communication,Low,Weak,Counter-insurgency,Arctic,Cloudy,Dawn,Low,Yes (Air Support),Guerrilla Tactics,Return Fire Only,2
8,Platoon,Reconnaissance,Veteran,Medical Supplies,Decentralized (Limited Communication),Minimal,82,Special Forces,Sniper Teams,High,Weak,Eliminate Enemy Force,Suburban,Light Rain,Day,Low,Yes (Air Support),Guerrilla Tactics,Weapons Free,4
219,Squad,Military Police,Mixed,Medical Supplies,Centralized (Flexible),Minimal,375,Special Forces,Standard Equipment,Low,Incompetent,Secure Objective,Rural,Thunderstorm,Dusk,None,No,Aggressive Push,Protect Civilians at All Costs,3
148,Fire Team,Reconnaissance,Mixed,Specialized Gear,Centralized,Basic,312,Special Forces,Advanced Communication,Medium,Incompetent,Rescue/Evacuation,Island,Sandstorm,Dawn,Low,Yes (Naval Gunfire),Tactical Retreat,Weapons Free,2
8,Company,Armored,Mixed,Specialized Gear,Centralized,Well-Supplied,158,Special Forces,Standard Equipment,Low,Charismatic Leader,Eliminate Enemy Force,Mountain,Fog,Day,Low,No,Guerrilla Tactics,Minimize Collateral Damage,2
8,Fire Team,Airborne,Rookie,Advanced Weaponry,Centralized (Flexible),Adequate,168,Special Forces,Standard Equipment,High,Tactical Genius,Counter-insurgency,Island,Blizzard,Day,Medium,Yes (Air & Artillery),Patrolling,Protect Civilians at All Costs,6
226,Squad,Airborne,Rookie,Specialized Gear,Decentralized,Well-Supplied,495,Cyber Warfare,Standard Equipment,Medium,Charismatic Leader,Peacekeeping,Island,Snow,Dawn,High,Yes (Air Support),Static Defense,Weapons Free,8
25,Squad,Armored,Veteran,Standard Issue,Centralized,Adequate,201,Drone Operators,Standard Equipment,Low,Tactical Genius,Peacekeeping,Rural,Extreme Cold,Dusk,High,Yes (Air & Artillery),Guerrilla Tactics,Minimize Collateral Damage,3
38,Battalion,Armored,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Well-Supplied,374,Light Infantry,Standard Equipment,Medium,Competent,Secure Objective,Desert,Sandstorm,Dawn,None,Yes (Air Support),Encirclement,Return Fire Only,3
5,Company,Military Police,Veteran,Riot Gear,Decentralized,Minimal,168,Drone Operators,Improvised Explosive Devices (IEDs),Low,Strong,Infrastructure Protection,Arctic,Cloudy,Night,None,Yes (Air & Artillery),Static Defense,Return Fire Only,1
5,Squad,Special Forces,Veteran,Specialized Gear,Centralized,Adequate,87,Armored,Advanced Communication,Low,Competent,Counter-insurgency,Rural,Extreme Cold,Night,Low,Yes (Naval Gunfire),Infiltration,Protect Civilians at All Costs,3
27,Platoon,Combat Medic Team,Rookie,Medical Supplies,Decentralized (Limited Communication),Minimal,63,Mechanized Infantry,Standard Equipment,Low,Incompetent,Peacekeeping,Suburban,Extreme Cold,Night,None,Yes (Air & Artillery),Tactical Retreat,Protect Civilians at All Costs,8
13,Fire Team,Armored,Veteran,Standard Issue,Decentralized (Limited Communication),Adequate,112,Light Infantry,Sniper Teams,Medium,Competent,Peacekeeping,Coastal,Thunderstorm,Dawn,Low,Yes (Air Support),Patrolling,Weapons Free,5
12,Platoon,Armored,Elite,Standard Issue,Centralized (Strict Hierarchy),Well-Supplied,265,Cyber Warfare,Improvised Explosive Devices (IEDs),Medium,Weak,Peacekeeping,Arctic,Sandstorm,Dawn,None,Yes (Artillery),Encirclement,Return Fire Only,6
164,Company,Mechanized,Rookie,Specialized Gear,Centralized (Strict Hierarchy),Overstocked,498,Light Infantry,Advanced Communication,High,Incompetent,Cyber Defense,Suburban,Snow,Night,High,Yes (Naval Gunfire),Tactical Retreat,Protect Civilians at All Costs,7
8,Battalion,Combat Medic Team,Rookie,Standard Issue,Centralized,Well-Supplied,51,Armored,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Secure Objective,Suburban,Extreme Heat,Dawn,None,Yes (Air Support),Aggressive Push,Minimize Collateral Damage,7
141,Battalion,Infantry,Elite,Medical Supplies,Centralized,Overstocked,476,Mechanized Infantry,Sniper Teams,Fanatical,Incompetent,Rescue/Evacuation,Rural,Fog,Night,Low,Yes (Artillery & Close Air Support),Infiltration,Non-Lethal Force Only,3
31,Battalion,Reconnaissance,Elite,Riot Gear,Centralized,Well-Supplied,242,Irregular Militia,Sniper Teams,Low,Incompetent,Eliminate Enemy Force,Mountain,Cloudy,Dusk,Low,Yes (Air Support),Patrolling,Observe and Report,6
825,Platoon,Mechanized,Rookie,Advanced Weaponry,Centralized (Flexible),Minimal,27,Guerrilla,Advanced Communication,Low,Competent,Counter-insurgency,Jungle,Light Rain,Day,None,Yes (Naval Gunfire),Guerrilla Tactics,Minimize Collateral Damage,7
12,Company,Military Police,Rookie,Specialized Gear,Decentralized,Basic,461,Drone Operators,Sniper Teams,High,Weak,Cyber Defense,Forest,Sandstorm,Dawn,High,Yes (Naval Gunfire),Infiltration,Observe and Report,3
983,Fire Team,Military Police,Veteran,Standard Issue,Decentralized,Overstocked,433,Guerrilla,Improvised Explosive Devices (IEDs),Low,Strong,Cyber Defense,Coastal,Sandstorm,Dawn,None,No,Infiltration,Protect Civilians at All Costs,3
